/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 1,803,850 | K=4 | blocks/unit=-
----------------------------------------------------------------------
Ep 135 | loss 0.1100 | task 0.1100 | train 96.0% | test 82.6%
Ep 136 | loss 0.1084 | task 0.1084 | train 96.1% | test 82.5%
Ep 137 | loss 0.1110 | task 0.1110 | train 96.0% | test 82.7%
Ep 138 | loss 0.1032 | task 0.1032 | train 96.4% | test 82.5%
Ep 139 | loss 0.1038 | task 0.1038 | train 96.3% | test 82.1%
Ep 140 | loss 0.1000 | task 0.1000 | train 96.4% | test 82.7%
Ep 141 | loss 0.1008 | task 0.1008 | train 96.5% | test 82.0%
Ep 142 | loss 0.1007 | task 0.1007 | train 96.4% | test 82.9%
Ep 143 | loss 0.0994 | task 0.0994 | train 96.4% | test 82.2%
Ep 144 | loss 0.0984 | task 0.0984 | train 96.5% | test 82.4%
Ep 145 | loss 0.0952 | task 0.0952 | train 96.6% | test 82.7%
Ep 146 | loss 0.0961 | task 0.0961 | train 96.5% | test 83.0%
Ep 147 | loss 0.0916 | task 0.0916 | train 96.7% | test 82.2%
Ep 148 | loss 0.0941 | task 0.0941 | train 96.6% | test 82.3%
Ep 149 | loss 0.0909 | task 0.0909 | train 96.8% | test 82.7%
Ep 150 | loss 0.0881 | task 0.0881 | train 96.9% | test 82.9%
Ep 151 | loss 0.0911 | task 0.0911 | train 96.7% | test 82.9%
Ep 152 | loss 0.0853 | task 0.0853 | train 97.0% | test 83.0%
Ep 153 | loss 0.0874 | task 0.0874 | train 97.0% | test 82.5%
Ep 154 | loss 0.0889 | task 0.0889 | train 96.8% | test 82.4%
Ep 155 | loss 0.0834 | task 0.0834 | train 97.0% | test 82.4%
Ep 156 | loss 0.0843 | task 0.0843 | train 97.1% | test 82.7%
Ep 157 | loss 0.0814 | task 0.0814 | train 97.1% | test 83.1%
Ep 158 | loss 0.0805 | task 0.0805 | train 97.1% | test 83.1%
Ep 159 | loss 0.0817 | task 0.0817 | train 97.2% | test 83.1%
Ep 160 | loss 0.0765 | task 0.0765 | train 97.3% | test 83.0%
Ep 161 | loss 0.0776 | task 0.0776 | train 97.3% | test 82.6%
Ep 162 | loss 0.0752 | task 0.0752 | train 97.3% | test 82.9%
Ep 163 | loss 0.0760 | task 0.0760 | train 97.3% | test 82.7%
Ep 164 | loss 0.0724 | task 0.0724 | train 97.5% | test 82.8%
Ep 165 | loss 0.0741 | task 0.0741 | train 97.4% | test 82.7%
Ep 166 | loss 0.0733 | task 0.0733 | train 97.4% | test 83.4%
Ep 167 | loss 0.0711 | task 0.0711 | train 97.5% | test 83.0%
Ep 168 | loss 0.0700 | task 0.0700 | train 97.6% | test 82.9%
Ep 169 | loss 0.0681 | task 0.0681 | train 97.5% | test 83.0%
Ep 170 | loss 0.0738 | task 0.0738 | train 97.4% | test 83.0%
Ep 171 | loss 0.0680 | task 0.0680 | train 97.6% | test 83.2%
Ep 172 | loss 0.0656 | task 0.0656 | train 97.7% | test 83.5%
Ep 173 | loss 0.0675 | task 0.0675 | train 97.6% | test 83.6%
Ep 174 | loss 0.0670 | task 0.0670 | train 97.6% | test 83.4%
Ep 175 | loss 0.0646 | task 0.0646 | train 97.7% | test 83.0%
Ep 176 | loss 0.0647 | task 0.0647 | train 97.7% | test 83.7%
Ep 177 | loss 0.0627 | task 0.0627 | train 97.8% | test 83.1%
Ep 178 | loss 0.0592 | task 0.0592 | train 97.9% | test 82.6%
Ep 179 | loss 0.0610 | task 0.0610 | train 97.9% | test 83.5%
Ep 180 | loss 0.0603 | task 0.0603 | train 97.9% | test 83.4%
Ep 181 | loss 0.0571 | task 0.0571 | train 98.0% | test 82.7%
Ep 182 | loss 0.0603 | task 0.0603 | train 97.9% | test 82.8%
Ep 183 | loss 0.0539 | task 0.0539 | train 98.1% | test 83.5%
Ep 184 | loss 0.0559 | task 0.0559 | train 98.0% | test 83.2%
Ep 185 | loss 0.0548 | task 0.0548 | train 98.1% | test 83.6%
Ep 186 | loss 0.0577 | task 0.0577 | train 98.0% | test 83.6%
Ep 187 | loss 0.0525 | task 0.0525 | train 98.1% | test 83.2%
Ep 188 | loss 0.0528 | task 0.0528 | train 98.2% | test 83.6%
Ep 189 | loss 0.0535 | task 0.0535 | train 98.1% | test 83.3%
Ep 190 | loss 0.0506 | task 0.0506 | train 98.2% | test 83.0%
Ep 191 | loss 0.0491 | task 0.0491 | train 98.3% | test 83.4%
Ep 192 | loss 0.0464 | task 0.0464 | train 98.3% | test 83.4%
Ep 193 | loss 0.0492 | task 0.0492 | train 98.2% | test 83.5%
Ep 194 | loss 0.0501 | task 0.0501 | train 98.2% | test 83.0%
Ep 195 | loss 0.0456 | task 0.0456 | train 98.4% | test 83.3%
Ep 196 | loss 0.0462 | task 0.0462 | train 98.4% | test 83.4%
Ep 197 | loss 0.0449 | task 0.0449 | train 98.4% | test 83.4%
Ep 198 | loss 0.0434 | task 0.0434 | train 98.5% | test 83.8%
Ep 199 | loss 0.0420 | task 0.0420 | train 98.6% | test 83.5%
Ep 200 | loss 0.0420 | task 0.0420 | train 98.5% | test 83.1%
Ep 201 | loss 0.0443 | task 0.0443 | train 98.4% | test 83.5%
Ep 202 | loss 0.0419 | task 0.0419 | train 98.6% | test 83.3%
Ep 203 | loss 0.0427 | task 0.0427 | train 98.5% | test 83.5%
Ep 204 | loss 0.0408 | task 0.0408 | train 98.6% | test 83.5%
Ep 205 | loss 0.0371 | task 0.0371 | train 98.7% | test 83.6%
Ep 206 | loss 0.0376 | task 0.0376 | train 98.7% | test 83.2%
Ep 207 | loss 0.0379 | task 0.0379 | train 98.7% | test 83.3%
