/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 3,583,306 | K=8 | blocks/unit=-
----------------------------------------------------------------------
Ep 215 | loss 0.0172 | task 0.0172 | train 99.4% | test 82.8%
Ep 216 | loss 0.0144 | task 0.0144 | train 99.5% | test 82.4%
Ep 217 | loss 0.0157 | task 0.0157 | train 99.5% | test 82.6%
Ep 218 | loss 0.0133 | task 0.0133 | train 99.5% | test 83.0%
Ep 219 | loss 0.0147 | task 0.0147 | train 99.5% | test 82.6%
Ep 220 | loss 0.0137 | task 0.0137 | train 99.6% | test 82.2%
Ep 221 | loss 0.0127 | task 0.0127 | train 99.6% | test 82.6%
Ep 222 | loss 0.0131 | task 0.0131 | train 99.6% | test 82.3%
Ep 223 | loss 0.0124 | task 0.0124 | train 99.6% | test 82.7%
Ep 224 | loss 0.0124 | task 0.0124 | train 99.6% | test 82.7%
Ep 225 | loss 0.0118 | task 0.0118 | train 99.6% | test 82.4%
Ep 226 | loss 0.0105 | task 0.0105 | train 99.7% | test 83.1%
Ep 227 | loss 0.0108 | task 0.0108 | train 99.7% | test 83.2%
Ep 228 | loss 0.0106 | task 0.0106 | train 99.6% | test 82.9%
Ep 229 | loss 0.0093 | task 0.0093 | train 99.7% | test 82.6%
Ep 230 | loss 0.0108 | task 0.0108 | train 99.6% | test 83.0%
Ep 231 | loss 0.0104 | task 0.0104 | train 99.7% | test 82.9%
Ep 232 | loss 0.0089 | task 0.0089 | train 99.7% | test 82.9%
Ep 233 | loss 0.0098 | task 0.0098 | train 99.7% | test 83.1%
Ep 234 | loss 0.0088 | task 0.0088 | train 99.7% | test 83.0%
Ep 235 | loss 0.0078 | task 0.0078 | train 99.8% | test 83.0%
Ep 236 | loss 0.0086 | task 0.0086 | train 99.7% | test 82.8%
Ep 237 | loss 0.0103 | task 0.0103 | train 99.7% | test 83.0%
Ep 238 | loss 0.0073 | task 0.0073 | train 99.7% | test 82.8%
Ep 239 | loss 0.0073 | task 0.0073 | train 99.8% | test 83.0%
Ep 240 | loss 0.0081 | task 0.0081 | train 99.8% | test 82.8%
Ep 241 | loss 0.0075 | task 0.0075 | train 99.7% | test 82.8%
Ep 242 | loss 0.0071 | task 0.0071 | train 99.7% | test 82.8%
Ep 243 | loss 0.0070 | task 0.0070 | train 99.8% | test 83.0%
Ep 244 | loss 0.0070 | task 0.0070 | train 99.8% | test 83.0%
Ep 245 | loss 0.0062 | task 0.0062 | train 99.8% | test 83.4%
Ep 246 | loss 0.0059 | task 0.0059 | train 99.8% | test 83.1%
Ep 247 | loss 0.0053 | task 0.0053 | train 99.8% | test 82.9%
