Loading ImageNet64 from HuggingFace...
Model: baseline | Params: 14,699,368 | K=8 | blocks/unit=-
----------------------------------------------------------------------
  step 3300/5005 | loss 3.8130 | acc 23.8% | 723s elapsed | eta 374s
  step 3400/5005 | loss 3.8090 | acc 23.8% | 745s elapsed | eta 352s
  step 3500/5005 | loss 3.8059 | acc 23.9% | 767s elapsed | eta 330s
  step 3600/5005 | loss 3.8022 | acc 23.9% | 789s elapsed | eta 308s
  step 3700/5005 | loss 3.7987 | acc 24.0% | 811s elapsed | eta 286s
  step 3800/5005 | loss 3.7949 | acc 24.0% | 833s elapsed | eta 264s
  step 3900/5005 | loss 3.7911 | acc 24.1% | 855s elapsed | eta 242s
  step 4000/5005 | loss 3.7875 | acc 24.1% | 877s elapsed | eta 220s
  step 4100/5005 | loss 3.7845 | acc 24.2% | 898s elapsed | eta 198s
  step 4200/5005 | loss 3.7805 | acc 24.3% | 920s elapsed | eta 176s
  step 4300/5005 | loss 3.7774 | acc 24.3% | 942s elapsed | eta 154s
  step 4400/5005 | loss 3.7737 | acc 24.3% | 964s elapsed | eta 133s
  step 4500/5005 | loss 3.7697 | acc 24.4% | 986s elapsed | eta 111s
  step 4600/5005 | loss 3.7662 | acc 24.4% | 1008s elapsed | eta 89s
  step 4700/5005 | loss 3.7630 | acc 24.5% | 1030s elapsed | eta 67s
  step 4800/5005 | loss 3.7595 | acc 24.5% | 1052s elapsed | eta 45s
  step 4900/5005 | loss 3.7558 | acc 24.6% | 1074s elapsed | eta 23s
  step 5000/5005 | loss 3.7521 | acc 24.7% | 1096s elapsed | eta 1s
Ep   3 | loss 3.7520 | task 3.7520 | train 24.7% | test 26.8% | 1108s
  step 100/5005 | loss 3.4536 | acc 28.7% | 22s elapsed | eta 1086s
  step 200/5005 | loss 3.4576 | acc 28.9% | 44s elapsed | eta 1058s
  step 300/5005 | loss 3.4597 | acc 28.8% | 66s elapsed | eta 1034s
  step 400/5005 | loss 3.4509 | acc 29.0% | 88s elapsed | eta 1011s
  step 500/5005 | loss 3.4516 | acc 28.9% | 110s elapsed | eta 989s
  step 600/5005 | loss 3.4520 | acc 28.9% | 132s elapsed | eta 967s
  step 700/5005 | loss 3.4554 | acc 28.8% | 154s elapsed | eta 944s
  step 800/5005 | loss 3.4526 | acc 28.8% | 175s elapsed | eta 922s
  step 900/5005 | loss 3.4508 | acc 28.9% | 197s elapsed | eta 900s
  step 1000/5005 | loss 3.4505 | acc 28.9% | 219s elapsed | eta 878s
  step 1100/5005 | loss 3.4489 | acc 28.9% | 241s elapsed | eta 856s
  step 1200/5005 | loss 3.4490 | acc 28.9% | 263s elapsed | eta 834s
  step 1300/5005 | loss 3.4477 | acc 28.9% | 285s elapsed | eta 812s
  step 1400/5005 | loss 3.4470 | acc 29.0% | 307s elapsed | eta 790s
  step 1500/5005 | loss 3.4454 | acc 29.0% | 329s elapsed | eta 768s
  step 1600/5005 | loss 3.4453 | acc 29.0% | 351s elapsed | eta 746s
  step 1700/5005 | loss 3.4421 | acc 29.0% | 373s elapsed | eta 724s
  step 1800/5005 | loss 3.4392 | acc 29.1% | 395s elapsed | eta 702s
  step 1900/5005 | loss 3.4372 | acc 29.1% | 416s elapsed | eta 681s
  step 2000/5005 | loss 3.4371 | acc 29.1% | 438s elapsed | eta 659s
  step 2100/5005 | loss 3.4347 | acc 29.2% | 460s elapsed | eta 637s
  step 2200/5005 | loss 3.4334 | acc 29.2% | 482s elapsed | eta 615s
  step 2300/5005 | loss 3.4307 | acc 29.2% | 504s elapsed | eta 593s
  step 2400/5005 | loss 3.4281 | acc 29.3% | 526s elapsed | eta 571s
  step 2500/5005 | loss 3.4261 | acc 29.3% | 548s elapsed | eta 549s
  step 2600/5005 | loss 3.4236 | acc 29.3% | 570s elapsed | eta 527s
  step 2700/5005 | loss 3.4219 | acc 29.3% | 592s elapsed | eta 505s
  step 2800/5005 | loss 3.4207 | acc 29.3% | 614s elapsed | eta 483s
  step 2900/5005 | loss 3.4183 | acc 29.4% | 635s elapsed | eta 461s
  step 3000/5005 | loss 3.4164 | acc 29.4% | 657s elapsed | eta 439s
  step 3100/5005 | loss 3.4146 | acc 29.4% | 679s elapsed | eta 417s
  step 3200/5005 | loss 3.4126 | acc 29.5% | 701s elapsed | eta 396s
  step 3300/5005 | loss 3.4110 | acc 29.5% | 723s elapsed | eta 374s
  step 3400/5005 | loss 3.4091 | acc 29.6% | 745s elapsed | eta 352s
  step 3500/5005 | loss 3.4062 | acc 29.6% | 767s elapsed | eta 330s
