Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 3400/5005 | loss 3.5376 | acc 27.8% | 789s elapsed | eta 372s
  step 3500/5005 | loss 3.5349 | acc 27.8% | 812s elapsed | eta 349s
  step 3600/5005 | loss 3.5326 | acc 27.8% | 836s elapsed | eta 326s
  step 3700/5005 | loss 3.5298 | acc 27.9% | 858s elapsed | eta 303s
  step 3800/5005 | loss 3.5268 | acc 27.9% | 881s elapsed | eta 280s
  step 3900/5005 | loss 3.5242 | acc 28.0% | 904s elapsed | eta 256s
  step 4000/5005 | loss 3.5215 | acc 28.0% | 928s elapsed | eta 233s
  step 4100/5005 | loss 3.5186 | acc 28.1% | 951s elapsed | eta 210s
  step 4200/5005 | loss 3.5154 | acc 28.1% | 975s elapsed | eta 187s
  step 4300/5005 | loss 3.5123 | acc 28.1% | 996s elapsed | eta 163s
  step 4400/5005 | loss 3.5100 | acc 28.2% | 1018s elapsed | eta 140s
  step 4500/5005 | loss 3.5079 | acc 28.2% | 1041s elapsed | eta 117s
  step 4600/5005 | loss 3.5055 | acc 28.2% | 1064s elapsed | eta 94s
  step 4700/5005 | loss 3.5030 | acc 28.3% | 1086s elapsed | eta 70s
  step 4800/5005 | loss 3.5000 | acc 28.3% | 1110s elapsed | eta 47s
  step 4900/5005 | loss 3.4982 | acc 28.3% | 1131s elapsed | eta 24s
  step 5000/5005 | loss 3.4961 | acc 28.4% | 1153s elapsed | eta 1s
Ep   3 | loss 3.4960 | task 3.4960 | cons 0.0000 | train 28.4% | test 29.2% | 1179s
  step 100/5005 | loss 3.2207 | acc 31.9% | 22s elapsed | eta 1082s
  step 200/5005 | loss 3.2319 | acc 32.0% | 44s elapsed | eta 1057s
  step 300/5005 | loss 3.2377 | acc 32.0% | 67s elapsed | eta 1058s
  step 400/5005 | loss 3.2348 | acc 32.1% | 90s elapsed | eta 1041s
  step 500/5005 | loss 3.2398 | acc 32.0% | 113s elapsed | eta 1018s
  step 600/5005 | loss 3.2312 | acc 32.2% | 136s elapsed | eta 1002s
  step 700/5005 | loss 3.2264 | acc 32.2% | 160s elapsed | eta 982s
  step 800/5005 | loss 3.2260 | acc 32.2% | 182s elapsed | eta 957s
  step 900/5005 | loss 3.2321 | acc 32.2% | 203s elapsed | eta 927s
  step 1000/5005 | loss 3.2330 | acc 32.2% | 225s elapsed | eta 903s
  step 1100/5005 | loss 3.2352 | acc 32.1% | 247s elapsed | eta 878s
